question,level
Give the effective length of column for various end conditions.,Knowledge
Write down a C++ program to implement operator overloading for complex class.,Application
Write difference between throw and throws.,Knowledge
What is the difference between inverting and non-inverting amplifier.,Knowledge
Elaborate Method overriding and dynamic method dispatch in Java.,Analysis
Explain SSL in detail.,Knowledge
Explain grid connected renewable systems and their requirements.,Knowledge
Write short notes on .,Comprehension
The number of computer science books borrowed from a library during a particular week is given below.,Application
Explain the working of single phase full wave bridge rectifier with RL load.,Comprehension
Explain with a neat sketch Sand filter.,Analysis
The following observations were recorded during a test on 4 stroke single cylinder diesel engine.,Application
Define constructor.,Knowledge
Evaluate ()11 00xyd x d y + using Simpsons 1/3rd rule with h=k=1/2,Application
Design a sequential circuit using Mealy machine for detecting the sequence.,Application
What does GPU stand for?,Knowledge
State various materials used in reinforcement of plastics.,Knowledge
Explain in brief various screen stencil making process.,Knowledge
Write short notes on the following.,Knowledge
Explain linked implementation of queue with suitable example.,Analysis
Identify the compounds A and B in the following reactions.,Analysis
Find the prime factorization of each of the following integer.,Application
State sampling theorem in time domain.,Knowledge
Establish with examples why the concept of entropy is essential to explain the direction of spontaneous processes.,Analysis
Explain Ultrasonic method for level measurement with suitable diagram.,Application
Show that   22 22 22ˆˆ ˆ Fi xy xz yx yz j zx zy k   is irrotational. Find scalar  such that F.,Analysis
State and explain types of belts.,Knowledge
Explain the working of voltage controlled oscillator by using IC 566.,Analysis
What is system bus?,Knowledge
Define Nanotubes in detail and write down its applications in detail.,Knowledge
List the register and data structure that are uses in Multitasking.,Knowledge
Write a note on building stones.,Knowledge
Discuss the major air pollutants from I.,Comprehension
What is a stack?,Knowledge
Design a helical compression spring for a maximum load of 1000 N for a deflection of 25 mm using the value of spring index as 5.,Application
Obtain the approximate equivalent circuit diagrams fo 3-ph induction motor step by step. Label it & state the meaning of each nomenclatureused.,Knowledge
Ethylene Oxide is produce from oxidation of ethylene.,Knowledge
State methods involved in production of crude petroleum.,Knowledge
A river is 80m wide. The depth d in meters at a distance x meters from one bank is given in the following table,Application
Discuss in detail preliminary geological investigations of tunneling.,Knowledge
Draw and explain voltage series feedback amplifier and list their advantages.,Knowledge
Explain an algorithm to find in-degree and out-degree of a vertex with a suitable example.,Application
Explain with appropriate example the feasibility of dam alignment which is crossing a DYKE.,Analysis
Differentiate between a nylon mesh with stainless steel mesh.,Analysis
Discuss concrete vibrators and compaction equipments.,Comprehension
Explain the factors affecting the concrete mix design.,Knowledge
Explain coal handling system in thermal power plant with neat flow chart.,Comprehension
What makes ceramics different than polymers with respect ot properties.,Knowledge
What precautions should be taken for welding high reflective materials using laser welding?,Application
Explain the operation of Dual Slope ADC.,Knowledge
State the limitations of array. Draw and explain double linked list.,Knowledge
List various types of flow control valve.,Application
How to perform loading and unloading of parts in machining operations using robots.,Knowledge
Derive an expression for digital PID velocity algorithm and state the merit of velocity algorithm.,Application
What is Work Breakdown Structure?,Knowledge
Explain in brief reactions involved in manufacture of silicone rubbers with mechanisms.,Application
With suitable diagrams explain armature reaction in DC machine.,Application
What is Queue? Explain insertion and deletion operation in Queue with suitable diagram.,Knowledge
What is constructor?,Knowledge
Describe the steps of defect management with neat diagram.,Analysis
Derive the expression for PIV for single phase FWR.,Analysis
Explain PLL with its block diagram.,Comprehension
Draw the sketch of stair.,Application
A solid circular 25 m long and 120 mm in diameter was found to be extended 1.,Application
Name the different types of insulators used in power system?,Knowledge
Elaborate on the concept of combining segment protection and page level protection in 80386.,Analysis
Find Controllability and Observability of the system given by state model.,Application
What are heat exchanger?,Knowledge
Implement Priority queue using linked representation and mention the time complexity of operations.,Application
Explain the growth of boundary layer over a thin flat plate held parallel to the direction of flow in a real fluid.,Comprehension
Write short note on plate tectonic.,Knowledge
Compare gang drilling and multispindle drilling machines.,Analysis
Compare pulse Amplitude modulation and pulse position modulation.,Analysis
Describe the objective and classification of triangulation survey.,Comprehension
Describe Inheritance.,Knowledge
Explain class template using multiple parameters.,Comprehension
Define continuous time Fourier Transform.,Comprehension
Elaborate on how you will use IoT for remote healthcare.,Knowledge
Explain the geometry of a single point cutting tool with suitable sketches.,Knowledge
Determine collapse load for the beam shown in figure 9 with variable moment or resistance.,Application
Describe measurement of flux density with Gauss meter.,Comprehension
Explain voltage to current converter with floating load?,Analysis
Obtain A VL tree from the following data.,Application
Discuss EIGRP protocol in detail.,Analysis
Explian the transient response specifications of second order system with neat diagram.,Application
Obtain the expression for voltage across capacitor in series RC circuit connected to a.,Analysis
What is openGL?,Knowledge
Explain the features of LISP programming.,Knowledge
List out the properties of continuous time Fourier Transform.,Comprehension
Describe MOST with suitable illustration.,Knowledge
Write a short note on Performance parameters of ADC.,Knowledge
Enlist various methods available for concrete mix design and explain the step by step procedure for concrete mix design IS 10262 method.,Comprehension
Compare regulated and unregulated power supply?,Analysis
Draw the power flow diagram of 3-ph Induction motor.,Knowledge
Differentiate between Standard Proctor Test and Modified Proctor Test. Draw typical compaction curve for both the tests.,Knowledge
With a neat diagram show interfacing of 8 KB of Data ROM memory to 8051.,Comprehension
Explain virtual base class and virtual function with example.,Analysis
Use residue theorem to evaluate  (1 ) (2 )z Cedzzzwhere C is the contour |z + 1| = 1 2.,Application
Explain Unit Testing?,Comprehension
Find the rise in pressure in the impeller of a centrifugal pump through which water is flowing at the rate 17.,Application
Draw & explain the working principle of cone & plate viscosity measurement. State the advantages & disadvantages of it.,Knowledge
Draw typical velocity distribution diagrams for fully developed laminar and turbulent flow through pipe.,Application
Give brief information of Austenite to Pearlite Transformation.,Comprehension
A Rectangular block of material is subjected to stresses on perpendicular planes as shown in figure below.,Application
What are rolling contact bearings?,Knowledge
Define sequential file organization.,Knowledge
What is perspective projection?,Knowledge
What is a machine instruction?,Knowledge
What are the various types of constructors in JAVA?,Knowledge
Discuss Blow molding process with neat sketch and give any two applications of it.,Knowledge
Draw and explain bidirectional shift register.,Knowledge
Why does ARM use CPSR?,Knowledge
What is the significance of pressure boosters and elaborate pressure booster in brief.,Comprehension
Explain what are factors to be consider for selecetion of span length hence state factors affecting sag of transmission line.,Analysis
Illustrate with examples the Reheap up and Reheap down operations w.,Knowledge
What are types of inheritance?,Knowledge
Explain transfer function of an AC servo motor with suitable diagram.,Knowledge
What is Sub Zero Treatment and why is it necessary?,Knowledge
What are the different types of errors and adjustments in single phase energy meter?,Knowledge
Write C function to create a doubly circular linked list.,Application
What is CPU Scheduling?,Knowledge
Discuss in detail volcanoes.,Knowledge
What is system testing?,Knowledge
Explain different methods to handle multiple interrupt request.,Comprehension
A rectangular beam of breadth 100 mm and depth 200 mm is simply supported over a span of 4 m.,Application
Describe requirements of good building stone.,Comprehension
Write a short note on interrupt structure of 8051.,Knowledge
Write a short note on FPGA.,Comprehension
Define Continuous time Fourier Transform and Inverse Continuous time Fourier Transform.,Knowledge
What are the different types of muscle tissues?,Knowledge
Explain Fixed Partitioning and Dynamic Partitioning memory management Schemes.,Comprehension
List the application of microprogramming.,Knowledge
How do the mitochondria maintain the chemiosmotic gradient used for the electron transport chain?,Analysis
What are Aluminum and its alloys?,Knowledge
What are the different tools used for generation of Reports?,Knowledge
Enlist any four types of floor finishes and explain mosaic flooring.,Analysis
Explain construction and working of RVDT with neat diagram.,Comprehension
How are ends of belts joined?,Knowledge
State the necessity of filter unit in Pneumatic System.,Knowledge
Explain Gauss Jacobi method for the solution of linear simultaneous equations.,Knowledge
Draw and Explain Hardwired control unit.,Comprehension
Compare synchronous and ripple counter.,Knowledge
Explain significance of dipping strata in site selection for construction of dam.,Comprehension
Explain in detail Multiple Bus Organization.,Comprehension
What is adsorption isotherm?,Knowledge
Find the Inverse Fourier Transform using partial fraction expansion.,Application
"With the help of circuit diagram and relevant waveforms, explain the operation of a 3-phase bridge rectifier with resistive load.",Knowledge
Write down a short note on interfacing of a GSM module with 8051 microcontroller.,Knowledge
Analyse the bent shown in figure 4 by slope deflection method.,Analysis
Write a program in Java to create a player class.,Application
What are the various factors which affect the rate of filtration?,Knowledge
An orifice meter with orifice diameter 15cm is inserted in a pipe of 30cm diameter the pressure difference measured by a mercury oil differentialmanometer on the two sides of the orifice meter gives a reading of 50 cmof mercury.,Knowledge
Define various network functions of a one-port network.,Knowledge
Explain how synchros can be used as Position control application.,Application
Explain armature reaction in DC machine with suitable diagrams.,Comprehension
Compare superscalar and super pipelined approaches.,Analysis
"Assume the mean height of soldiers to be 68.22 inches with a variance of 10.8 inches square. How many soldiers in a regiment of 10,000 would you expect to be over 6 feet? Assume area (0 < z < 1.15) = 0.3749 where z is the standard normal variate.",Application
Differentiate AC and DC motors.,Analysis
How does the welding of high carbon steels differ from that of medium carbon steels and low carbon steels?,Analysis
Describe the historical development of wind turbine on global level.,Knowledge
Explain Ziegler Nichols close loop tuning method in detail.,Knowledge
Enlist the  limitations of the prevalent survey techniques and also give advantages of Space Based positioning System?,Knowledge
"Draw ASM chart for 2 bit binary counter having one enable line E such that: E=1,",Knowledge
Explain the virtual memory.,Knowledge
What is orthographic projection?,Knowledge
What is indicator microorganism and explain its significance in water microbiology.,Analysis
What are the salient features of vegetable market building?,Knowledge
A solid circular shaft of diameter 90 mm rotates at 130 rpm. The twist is observed as 3º over 6 m span.,Application
Writes a short note on edge preparation in welding.,Comprehension
What is Hashing?,Knowledge
Draw and Explain the Task State Segment of 80386.,Knowledge
With the help of diagram explain the concept of solar thermal power plant.,Knowledge
What are different types of stepper motors.,Knowledge
Derive the equation for lateral earth pressure in active state for dry cohesionless backfill with uniform surcharge.,Analysis
What is Risk?,Knowledge
What is the definition of a linear block code?,Knowledge
Draw and explain CCITT hierarchy of multiplexing.,Knowledge
What is PLD?,Knowledge
Discuss Homeothermy rule for substitutional solid solutions?,Knowledge
Explain Generalised linked list with suitable Example.,Knowledge
Explain the function of SBUF and SCON registers in detail.,Comprehension
Explain the idealized stress strain curve for plastic analysis with diagram and state the assumption for plastic analysis.,Knowledge
Explain Darcay Weisbachs equation.,Analysis
Write an algorithm for depth first traversal of a graph.,Application
Compare fire resisting properties of concrete and stone.,Analysis
Differentiate between Method overloading and Method Overriding.,Analysis
Explain the basic method for implementing paging.,Knowledge
Define Mineral.,Knowledge
Explain the selection sort with algorithm sort the following no.,Analysis
What is evaporation?,Knowledge
Explain working principle of a linear induction motor and state its applications.,Knowledge
Explain scrambling and unscrambling with diagram in detail.,Knowledge
Explain final control element in brief and explain gate and needle control valve in detail with neat sketch.,Knowledge
Given the pdf for different X values as follows.,Application
What is a singly linked list?,Knowledge
What is MIME?,Knowledge
Explain the interface design steps.,Analysis
Find the initial and final value of the given function.,Analysis
"In the network shown in Fig. 1, switch is closed at t = 0 with capacitor is uncharged. Find the value of 2 2(0 ) (0 )(0 ), ,di d iidt dt  .",Application
Draw pin diagram of IC 555 and explain working of each pin.,Comprehension
Write Short note on SCON register.,Knowledge
A fair coin is tossed 64 times.,Application
Explain the Dining Philosopher problem with the help of pseudo code.,Knowledge
List out the properties of Continuous time Fourier Series.,Knowledge
Explain along with fig Types of Rolling Contact Bearings.,Analysis
What are the objectives of hydrographic survey?,Knowledge
Derive the expression for rise in pressure in the impeller of a centrifugal pump.,Analysis
Describe with suitable block diagram pulse code modulation transmitter.,Knowledge
Describe the procedure of setting out drainage line.,Application
What is the packaging scenario of world and India.,Knowledge
A 3 phase 80 kV transmission line is supported by 3 suspension insulators.,Knowledge
Design the clocked sequential circuit for the state diagram using JK flip flop.,Application
Draw neat sketches of feed forward and feed backward evaporator.,Knowledge
SO2 is absorbed in water using a packed column operated at constant T and P.,Application
Design a practical integrator with input signal of 2VPP and cutoff frequency of 2.5 kHz. for DC voltage gain to 10.,Application
"With necessary diagram, classify magnetic materials on the basis of magnetic dipole moment and magnetic susceptibility.",Knowledge
With suitable diagram explain construction and working of semiconductor type strain gauge.,Comprehension
Describe Adaptive Delta modulation with neat diagram.,Comprehension
Explain with neat block diagram IC V oltage Regulator.,Knowledge
The monthly requirement of a sand for a particular firm is 849 cubic meter.,Application
Draw the Circuit diagram for the following equations.,Application
Compare Forward Chaining and Backward Chaining.,Analysis
Write in short about dialysis and size exclusion chromatography.,Knowledge
In R-L-C circuit Fig. 4 is excited by D.C. voltage source. Find current i (t) using conventional method. The switch is closed at time t = 0.,Application
Explain indexed sequential file organization.,Knowledge
"Use Green ’s theorem to evaluate 22 222 cxyd x x yd y   where ‘C’ is boundary of area enclosed by the axis and circle 2216, 0. xy z ",Application
What are the programming language qualities?,Knowledge
Find the Z Parameters for the Network Shown.,Application
Write short note on Data Types in C.,Knowledge
Explain 3D position trackers.,Knowledge
What is tempering process?,Knowledge
Explain Rankin cycle.,Knowledge
With suitable diagram explain construction and working of McLeod Gauge.,Application
Explain any three lathe operations with sketch.,Comprehension
Enlist the various benefits of EV A to any project.,Comprehension
Draw Bending stress and shear stress distribution diagram for the rectangular section?,Knowledge
Briefly explain the function of pH sensors in measuring the acidity or alkalinity of a solution with diagram.,Comprehension
A siphon of diameter 0.,Application
Explain the working of magnetic Tape recorder along with diagram.,Application
State sampling theorem and discuss its types.,Comprehension
What is a singly linked list?,Knowledge
Draw a neat and labeled diagram showing electrons transport chain.,Knowledge
Define BCNF.,Knowledge
Illustrate two position and floating control mode in brief with neat sketch.,Comprehension
Explain how soil acts as a geochemical trap and state the various remediation techniques.,Comprehension
List and explain various Privilege Instructions.,Knowledge
With suitable diagram explain construction and working of foil type strain gauge.,Comprehension
How are recorders classified?,Knowledge
Design a PLL circuit using 565 IC to get free running frequency 4.,Application
Explain TIG welding with neat sketch.,Knowledge
Interpret the terms multitasking and multiprocessing and multithreading in Java with example.,Application
Explain Machine to Machine Architecture?,Comprehension
When do designers think in shapes and signs.,Analysis
Five pencils and 5 pens are to be arranged in a row.,Analysis
Draw the TCON and TMOD register and explain use of individual bits of both the registers.,Comprehension
Design monostable multivibrator using timer 555 pulse width of 5 seconds.,Application
The following table gives data obtained from triaxial compression test conducted under undrained conditions on two specimens of same soilsample.,Application
Design Phase Shift oscillator using operational amplifier for output frequency of 1KHz.,Application
A 0.,Application
What is Work Breakdown Structure?,Knowledge
What is presattable counter?,Knowledge
Compare Brushless DC motor with conventinal DC motor.,Analysis
Describe the significance of the urea cycle.,Analysis
Analyse the frame shown in figure 10 by stiffness method and draw bending moment diagram.,Analysis
Explain with sketch any one technique of Ceramic matrix composite processing.,Analysis
A rectangular simply supported beam of 5m span is subjected to a central point load of 100 kN. The given beam is 300 mm wide and 500mm deep. Determine maximum bending stress induced in the section.Draw Bending Stress Distribution diagram.,Application
Determine the fourier series for the signal with the periodic wave as shown in fig.,Application
Is there any difference between throw and throws in exception handling in Java?,Analysis
Find the Inverse Fourier Transform using partial fraction expansion.,Application
Evaluate the following forms of LISP.,Analysis
What are pipeline hagards?,Knowledge
Explain the construction and working principle of Epicyclic Train Dynamometer with neat sketch.,Comprehension
Evaluate using Stoke ’s theorem  F Sds   where  2 F yiz jx y k  and S is surface of paraboloid 2240zx y z   .,Application
How multiple catching is implemented in exception handling?,Analysis
Explain practical differentiator circuit with neat diagram?,Analysis
Sketch PM waveform for sinusoidal input signal.,Application
What do you mean by pipe?,Knowledge
A coin is tossed three times. Write the sample space which gives all possible out comes. A random variable X. Which represents the numberof heads obtained on any tripple toss. Calculate and draw the CDF andPDF.,Application
What are solid Solutions?,Knowledge
State the primary and secondary objectives of material management.,Comprehension
Explain different types of riveted joints.,Knowledge
What is adsorption isotherm?,Knowledge
Explain in detail Microprogram Sequencing.,Comprehension
What is DMA?,Knowledge
Construct the binary search tree from the following elements,Application
Draw line code formats for 10110100.,Knowledge
Enlist various types of fixtures for doors and explain anyone with a neat sketch.,Application
Design a wein bridge oscillator to generate oscillations at 1 KHZ.,Application
Draw the circuit diagram of current mirror and explain in detail.,Knowledge
Program the 8051 in C to receive bytes of data serially and put them in P1.,Application
Draw and explain IPV4 header format.,Knowledge
How is pyridine is synthesized?,Application
Describe the process to carry out work sampling study.,Knowledge
State any five factors for selection of motor for specific applications with brief explanation of each.,Knowledge
Draw neat circuit diagram and phasor diagram of following transmission line models.,Analysis
Derive an expression for thermal efficiency of Diesel cycle.,Analysis
RCC frame structure.,Knowledge
Give the detailed classification of strain gauge and explain wire strain gauge.,Knowledge
Write a note on memory hierarchy.,Knowledge
Explain one example try block with multiple catch statements.,Comprehension
Write a function in C to delete a node in SLL.,Application
Which class supports character input to the program?,Knowledge
Draw and explain the single bus organization of the CPU.,Knowledge
Differentiate and Explain the Interrupt gate and Trap gate descriptor.,Knowledge
Find the driving point admittance Y11 (s) for the network shown in Fig. 9 and plot pole-zone diagram.,Application
With suitable diagram explain working of resistive transducers.,Application
What are different security parameters considered while designing any IoT system?,Knowledge
An infinite slope is made of clay with the following properties:,Application
Explain with example K dimensional tree.,Analysis
Describe various types of surface grinders with simple sketches.,Knowledge
Mr.,Application
Explain with suitable example the techniques to represent a Graph.,Knowledge
What is the necessity of ventilation and explain types of ventilation?,Comprehension
Explain in details principal of Induction Heating and Vertical Core Type Induction Furnace.,Knowledge
Explore the role of Task Register in multitasking and the instructions used to modify and read Task Register.,Knowledge
Enlist the various bridge circuits you have studied and mention the measurement carried out using these bridges.,Comprehension
Write a program for integer division.,Application
Describe any types of output devices of computer.,Knowledge
A square column of wood is 2.,Application
Explain Current mirror circuit with neat diagram.,Knowledge
Explain in brief the relationship in tension and compression of concrete in hardened state.,Comprehension
Explain architecture of 8086 microprocessor with diagram.,Knowledge
Write a program which demonstrate constructor with default arguments.,Application
In Wien bridge at balanced condition the values of components in bridge arms are as follows.,Application
List out the Java features.,Knowledge
Explain renaming of a segment with suitable example.,Analysis
Explain any four selection parameters of PLC also enlist functions of PLC.,Knowledge
Find the Laplace Transform of following signals.,Application
What are the types of chips formed during metal cutting?,Knowledge
State the limitations of Fourier Transform and need of Laplace transform.,Comprehension
State methods of remediation for soil contamination and explain any two of them.,Knowledge
Draw circuit diagram of inverting Schmitt trigger and plot hysteresis and explain in short.,Comprehension
State the composition of the following steel which is specified as per Indian Standard Designation System.,Knowledge
Explain in detail concept of maximum heat flux and critical temperature drop.,Analysis
"The first four moments of a distribution about the value 4 are –1.5, 17, –30, 108. Find the moments about the mean and β1 and β2.",Application
Write the different operations performed on lathe machine.,Knowledge
What are the limitations of Fourier series.,Comprehension
Differentiate friend function with normal function of the class.,Knowledge
Explain Preliminary Geological Investigations carried out for Tunneling.,Comprehension
Describe a Link List as ADT.,Knowledge
Draw block diagram and explain any one application of IC PLL 565 in detail.,Application
Write program to handle primitive data types in file handling.,Application
Compare Analog and Digital communication.,Analysis
Explain full wave centre tapped rectifier supplying resistive load with circuit diagram and waveforms.,Comprehension
Write and explain SQL function and procedures with sample example.,Knowledge
Construct Minimal spanning tree for the following graphs using prims algorithm.,Knowledge
Describe the procedure of setting out drainage line.,Comprehension
Describe the operation of TTL logic circuit working as NAND gate.,Comprehension
Find Laplace Transform of following signal.,Application
Explain various parts and any two types of faults with neat sketches.,Knowledge
Why is CO2 Gas supplied in animals cell culture?,Analysis
State the methods and importance of Record keeping systems.,Knowledge
Differentiate between compile time polymorphism and runtime Polymophism.,Knowledge
Construct A VL tree for following sequence of keys.,Knowledge
Write a note on SQL Lite database.,Knowledge
Draw the TCA cycle.,Knowledge
Compare frequency modulation with phase modulation.,Analysis
Explain Diffuse reflection and Specular Reflection.,Comprehension
Explain resource allocation methods and their significance in manpower planning.,Comprehension
Draw & explain the working principle of chain-balanced float type density measurement technique. Enlist other two techniques for density measurement.,Knowledge
What is mean by Interface in Java?,Knowledge
Using Green’s theorem evaluate  CFdr⋅ where,Application
What is meant by reactance voltage in case of commutation in DC machine?,Knowledge
Explain implementation of process and threads in Linux.,Knowledge
Explain following term related to distributed database system.,Knowledge
Explain classification of gears along with applications of each type.,Knowledge
Explain Risk identification process?,Analysis
Explain about requesting repainting in Java.,Comprehension
With suitable diagram explain working of LVDT.,Application
A boiler house has natural draught chimney of 20 m height.,Application
Draw & explain the working principle of orifice meter. Derive the equation of actual flow rate from it.,Knowledge
What are copper and its alloys?,Knowledge
How the following measurement can be done using CRO:,Knowledge
A laminar flow is taking place in a pipe of diameter 200 mm.,Application
What is pressure bulb? Explain its significance and draw a neat sketch of pressure bulb for concentrated point load.,Knowledge
Represent the following graph using the adjacency matrix and adjacency list.,Application
What is solid modeling?,Knowledge
State types of quantization.,Knowledge
Explain the need of demand paging with advantages.,Knowledge
Describe concept of digital multiplexer and Demultiplexer with necessary diagram.,Knowledge
"A rectangular column of 240 mm × 150 mm is subjected to a vertical load of 110 kN, acting at an eccentricity of 60 mm in a plane bisecting150 mm side. Determine the maximum and minimum stresses.",Application
A bolt is subjected to an axial pull of 8kN and a transverse shear force of 3 kN.,Application
Describe in detail core drilling method of subsurface geological exploration with its significance.,Comprehension
What are different types of errors and adjustments in single phase energy meter?,Knowledge
Describe the different factors affecting the evaporation operation.,Application
Explain the three position synthesis of single slider mechanism by using inversion method.,Knowledge
Compare TCP and UDP Header with suitable diagram.,Analysis
Describe in detail elements of belt conveyor what are the various merits and applications of belt conveyors?,Knowledge
Evaluate following postfix expression with the help of stack.,Application
What is IT infrastructure and what are the stages and drivers of IT infrastructure evolution?,Knowledge
What is navigation and manipulation interfaces in virtual reality system?,Knowledge
 Explain in brief test driven development.,Analysis
Write structure definition for single Linked list. Differentiate between static memory and dynamic memory allocation.,Knowledge
"Using Stoke's theorem, evaluate :",Application
Compare vapour compression and vapour abortion refrigeration system.,Analysis
How is Lissajous pattern used for frequency measurement?,Application
What is interface in java?,Knowledge
Differentiate between IGBT and MOSFET.,Analysis
Distinguish between squirrel cage and slip ring induction motors.,Analysis
What is recursion?,Knowledge
With the help of diagram explain interfacing of ADC 0809 with 8051 microcontrollers.,Knowledge
Write a structure for stack using array. Write PUSH and POP function for stack using array.,Application
Write Methods of Transfer Lines with suitable example.,Knowledge
What are the check points in cell cycle?,Knowledge
Design wien bridge oscillator using operational amplifier for output frequency of 5KHz.,Application
Write a short note on C Data types for 8051 microcontroller.,Comprehension
Write short note on current boosting regulator.,Comprehension
A tacheometer with analytic lens.,Application
State and explain basic components of ASM chart.,Application
"Following are the details of Project A and B. Using NPV (i=8%), Comment on the following statements:",Analysis
Write a program in C to toggle all bits of Port 1.,Application
Nitrobenzene  undergoes electrophilic substitution at meta only.,Knowledge
Implement the following Boolean function using PLA.,Application
Compare Linear V oltage regulators with SMPS.,Analysis
Explain Producer and consumer problem in Classical Synchronization.,Knowledge
Differentiate between Microscopy and Macroscopy.,Analysis
Write a python program to insert a new item before the second element in an existing array.,Application
A 250 V DC Shunt motor takes a current of 6 Ampere and runs at 1200 rpm.,Application
Derive an expression for digital PID position algorithm and state the limitation of position algorithm.,Application
Find the maximum flow in the given network.,Knowledge
Write the rules for BCD addition and give example.,Knowledge
In an I.,Analysis
Derive an equation for finding of angular velocity and angular acceleration of connecting rod by using analytical method.,Analysis
Whta is Backface?,Knowledge
Discuss the different file allocation methods with suitable example.,Knowledge
Explain working of TOD meter with a suitable diagram.,Comprehension
What is template?,Knowledge
Apply Stoke ’s theorem to evaluate F cdr  where Fyzi zxj xyk  and S is upper part of sphere 22 21 xyz  above XOY plane.,Application
Describe the block diagram of programmable IC 8253.,Knowledge
Evaluate ˆ.,Evaluation
List out Key features of UDP Protocol.,Knowledge
Define the following with examples.,Knowledge
What is risk projection?,Knowledge
Differentiate between light compaction test and heavy compaction test.,Analysis
List the advantages and disadvantages of FM over AM.,Knowledge
Explain idealized stress strain curve for plastic analysis.,Comprehension
What are various operations on Graph?,Knowledge
Explain the repository features with respect to software configuration management.,Analysis
Define with examples.,Knowledge
Explain working principle of Hall Effect Sensors?,Comprehension
What are Linear Actuators?,Knowledge
Draw a neat sketch of broach and name its different parts.,Knowledge
What is fourier series.,Knowledge
Draw circuit diagram of general AC bridge and derive the equation for the balanced condition of the bridge.,Comprehension
What are the advantages of design patterns?,Knowledge
The vapour pressure of aqueous solution of glucose at 373 k is 750 mmHg.,Analysis
Describe the types of vibrators used for compaction of concrete.,Knowledge
Describe detection of PPM with block diagram.,Knowledge
Calculate the number of degrees of freedom of mechanism as shown in fig.,Application
"Standard deviation of four numbers 9, 11, 13, 15 is",Application
Explain sequential file and random access file organization.,Comprehension
Explain the following in relation with filters.,Knowledge
What is Multiple Inheritance?,Knowledge
A simply supported beam of length 2m is supported at its end and a u.,Application
Explain the concept of minimum fluidization.,Application
Explain the following number predicates using a suitable example.,Analysis
Explain S-R flip-flop using NOR gates.,Knowledge
Explain the QoS parameters in computer network.,Knowledge
Write a Java program for class Rectangle to calculate area for Rectangle.,Application
Explain the project planning activities.,Analysis
Draw and explain the basic building of an ideal microprocessor based system with the help of neat diagram.,Analysis
What are the benefits of NOSQL databases.,Knowledge
Explain typical connections of 78XX and 79XX regulators with circuit diagram.,Knowledge
Distinguish between squirrel cage and slip ring induction motors.,Analysis
Compare EHV AC and EHVDC transmission systems.,Analysis
Draw neat sketch wet sump lubrication system.,Knowledge
"Consider the following page reference string 1, 2, 3, 1, 4, 5, 6, 2, 1, 3, 2,7, 6, 3, 4, 1, 2, 6 Number of page frame =6. Calculate Page fault andHit ratio using LRU page replacement algorthm.",Application
Discuss the working of a parabola collector with neat sketch.,Knowledge
Explain about abstract class in Java with suitable example.,Comprehension
What is topological sorting?,Knowledge
Describe the RAM and ROM memory organization in 8051 microcontroller.,Knowledge
Find the inverse Laplace of given.,Application
What is queue?,Knowledge
Explain in detail the functions of ADCON0 SFR of PIC 18 microcontroller.,Analysis
What is meant by power screw?,Knowledge
Write a short note on diazotisation and coupling in azo dyes.,Application
List out the properties of Continuous time Fourier Transform.,Application
Prove that expression for laminar flow of fluid.,Analysis
Solve the following set of linear simultaneous equation using the Gauss Jacobi method.,Application
State Different names of satellites and Write a note on GLONASS (Global Navigation and Surveying System).,Knowledge
Draw layout of hydroelectric power plant and explain functions of different components.,Comprehension
What are the geological requirement for the foundation of dam?,Knowledge
Define the following terms.,Knowledge
Draw the logic diagram of full-adder and its truth table.,Knowledge
The connecting rod of horizontal engine is 400 mm long between the centers.,Application
Explain the disadvantages of polynomial representation using an array.,Comprehension
Draw V to I converter with grounded load and explain with its output equation.,Comprehension
Draw and explain ARM core dataflow model.,Knowledge
Explain in detail working of square wave generator with neat circuit diagram.,Knowledge
What is modulation?,Knowledge
Describe single electron transistor with neat diagram.,Knowledge
Describe types of joints and their civil engineering significance.,Knowledge
Explain with example:,Knowledge
What are the rules for over loading operators.,Knowledge
State  the Characteristics of contour lines?,Knowledge
A pipeline of length 2km is used for power transmission.,Application
Write a LISP program to find the factorial of n numbers using recursion concept.,Knowledge
Explain SCTP protocol in detail.,Knowledge
Explain the strong acid strong base titration with the help of titration curve and indicators.,Analysis
What are the criterias for selection of controllers in Embedded Products?,Knowledge
State the applications of CCP module in PIC.,Knowledge
Write short note on varnishing.,Comprehension
Illustrate Ziegler Nichols close loop tuning method in detail.,Comprehension
What is perspective projection?,Knowledge
What is runtime polymorphism?,Knowledge
An oil of viscosity 0.,Application
Draw and explain Wein Bridge oscillator.,Comprehension
State uses and characteristics of contour lines.,Knowledge
State the necessity of starter for 3 phase induction motor.,Knowledge
The wood beam is subjected to a load of 12 kN.,Application
Explain the classification of steel on the basis of carbon content with its applications.,Knowledge
Explain low pressure measurement by McLeod gauge.,Knowledge
Convert JK flip flop into T and D flip flop.,Application
Define the following terms with suitable example.,Knowledge
Given the Laplace transform of.,Application
What is Hilbert curve?,Knowledge
A 230 V DC shunt motor runs at 800 rpm and takes armature current of 50 A.,Application
What is virtual function and its use?,Knowledge
Write in brief on types of Groundwater.,Knowledge
An axial pull of 25 kN along with a shear force of 20 kN is applied to a circular bar of 20 mm diameter.,Application
What is an exception?,Knowledge
Explain in detail with diagram Bezier curve generation using midpoint subdivision method.,Knowledge
What is additive manufacturing?,Knowledge
What is age hardening?,Knowledge
